date,a,i,j,jm,m,p,y,CF,FG,MA,OI,RM,SR,TA,ZC,ag,al,au,cu,hc,pb,rb,ru
20150104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20150105,1,1,1,1,1,1,1,0.99987903,1,1,1,1,1,1,1,0.999946785,1,1,1,1,1,0.999725073,0.999692897
20150106,1,1,1,1,0.999829208,1,1,0.99987903,1,1,1,1,1,1,1,0.988497572,0.999909195,1.005693228,1.005122375,1,1,1.015421442,1.01180201
20150107,1,1,0.999663247,1,1.000386488,0.999618891,1,0.998148945,1,1,1,1,1,1,1,0.985386464,0.999486881,1.004134265,1.008812347,1,1,1.018054353,1.025356283
20150108,1,0.999427924,0.9928402,1,1.001097422,0.997533481,0.997173215,0.997550095,1,1,1,1,1,1,1,0.982221752,0.999209688,1.005577936,1.008348839,1,1,1.011422186,1.011286529
20150109,0.999914437,0.999724263,0.9928402,1,1.000088393,0.993227803,0.993429496,0.998843208,1,1,1,1,1,1,1,0.981286812,0.99830993,1.002793303,1.012803303,1,0.999836965,1.003587518,0.999492425
20150112,0.998023963,1.00771701,0.9950946,1,0.999797637,0.991748869,0.993429496,1.000654057,1,1,1,1,1,1,1,0.987594372,0.992963815,1.011910285,1.003373682,1,0.999438074,0.994889487,0.996845059
20150113,0.997674179,1.006988842,0.994328003,1,0.998943529,0.995962202,0.992967256,0.998232074,1,1,1,1,1,1,1,0.975240364,0.992606112,1.003465726,1.002191956,1,0.995345706,0.997041966,0.977362753
20150114,0.99659151,1.005617791,0.99461524,0.998460343,1.015611987,0.985854162,0.986968064,0.997417693,1,1,1,1,1,1,1,0.977522862,0.991218277,1.013209884,1.032788749,0.998867742,0.983092455,1.014157829,1.007818732
20150115,0.998069062,1.018022215,0.99662443,0.996713565,1.022791002,0.992274112,0.984839199,0.998110328,1,1,1,1,1,1,1,0.971258617,0.989704685,1.014897636,1.046474653,1.001540151,0.987770338,1.025478129,1.017296402
20150116,0.996906434,1.018036963,0.996590629,0.995953166,1.030996956,0.983199861,0.976352158,0.995601877,1,1,1,1,1,1,1,0.970302664,0.989361368,1.017772114,1.058213956,1.001571835,0.997316787,1.029224521,1.018637064
20150119,0.996421625,1.011869275,0.990400217,0.987852718,1.032881845,0.966018065,0.974832197,0.99568257,1,1,1,1,1,1,1,0.971734153,0.989769996,1.014692975,1.064677495,1.001640127,0.997897861,1.042968415,1.006670105
20150120,0.997272817,1.011937396,0.985583529,0.986006722,1.029256801,0.964287439,0.974832197,0.997475939,1,1,1,1,1,1,1,0.970880511,0.986656866,1.016587558,1.066586494,1.001476247,0.998135699,1.050250962,1.00366639
20150121,0.988053558,1.019384493,0.985292619,0.985908825,1.02415797,0.962631971,0.974651344,0.996002297,1,1,1,1,1,1,1,0.975609062,0.986121818,1.006191415,1.064516378,1.001349667,0.998172887,1.047873385,1.029103243
20150122,0.987890796,1.018521848,0.98195485,0.98251108,1.023582725,0.962366889,0.974710532,0.993070372,1,1,1,1,1,1,1,0.99750968,0.988881749,1.016821901,1.078765651,0.999699639,1.001528727,1.043537771,1.017347844
20150123,0.98729233,1.020358787,0.980753196,0.982141468,1.030808521,0.963804285,0.977664762,0.990503133,1,1,1,1,1,1,1,0.993397772,0.987702991,1.016824079,1.092872298,0.999224362,1.0007555,1.039977954,1.023064279
20150126,0.98919163,1.014997586,0.983684078,0.98200679,1.024085651,0.96422618,0.9767921,0.992032457,1,1,1,1,1,1,1,0.981794494,0.985287107,1.013916647,1.058375614,1.004672841,1.003729209,1.046321835,0.998415713
20150127,0.987250639,1.012633873,0.983233878,0.980644221,1.012258844,0.962543149,0.976756869,0.986402088,1,1,1,1,1,1,1,0.972133646,0.985580986,1.013861914,1.067237312,1.004340079,1.005407705,1.045253721,0.999477241
20150128,0.988166161,1.011592495,0.983230824,0.980644221,1.012796882,0.963537922,0.976050888,0.989293771,1,1,1,1,1,1,1,0.969470689,0.985309163,1.0095437,1.046614031,1.001714976,1.005338215,1.045711633,0.988836804
20150129,0.98848444,1.010358428,0.983179902,0.980647939,1.00909508,0.962559172,0.975623988,0.985739841,1,1,1,1,1,1,1,0.970901154,0.984723231,1.014851627,1.041060145,1.000111194,1.005711439,1.048840486,0.986092904
20150130,0.987976581,1.009390842,0.983035281,0.980647939,1.002823631,0.947684429,0.962643579,0.991038284,1,1,1,1,1,1,1,0.95356148,0.985702465,1.004820225,1.047847404,1.000111194,1.005195495,1.050745544,0.991489222
20150202,0.992693773,1.009390842,0.983109507,0.97806613,1.005184642,0.947684429,0.961596418,0.99189551,1,1.022431077,1,0.993271166,1.014793577,0.996350235,1,0.966751035,0.983142,0.988949762,1.069617917,1.001429617,1.004600789,1.044620347,1.012609285
20150203,0.992610204,1.012299018,0.982431449,0.975455296,0.998881442,0.948583165,0.957777959,0.99115925,1,1.007400837,1,1.003669673,1.039810463,1.012948271,1,0.957923685,0.992561359,0.985437431,1.053476731,1.000922469,1.004316805,1.046780599,1.008309144
20150204,0.990944126,1.014111468,0.982301371,0.976993455,0.992487269,0.943256488,0.957082994,0.980555884,1,1.00211193,1,0.993749538,1.032811371,1.007313768,1,0.95735185,0.990336133,0.990072348,1.035443679,0.999974056,1.005927139,1.035716708,1.008828565
