date,CF,FG,MA,OI,RM,SR,TA,ZC
20150105,0.999879029701,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150107,0.998148945463,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150108,0.997550095456,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150109,0.998843208431,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150112,1.00065405686,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150113,0.998232073958,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150114,0.997417693457,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150115,0.998110327833,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150116,0.995601876968,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150119,0.995682569899,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150120,0.997475939432,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150121,0.996002297281,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150122,0.993070371834,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150123,0.990503133305,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150126,0.992032456616,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150127,0.986402088163,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150128,0.98929377059,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150129,0.985739840799,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150130,0.991038284281,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20150202,0.991895509792,1.0,1.0224310771,1.0,0.993271166099,1.01479357726,0.996350234691,1.0
20150203,0.991159249817,1.0,1.00740083694,1.0,1.00366967292,1.03981046261,1.01294827087,1.0
20150204,0.980555883786,1.0,1.00211192953,1.0,0.993749538357,1.03281137102,1.00731376803,1.0
20150205,0.985495595911,1.0,1.00112191315,1.0,0.993046855221,1.03415829052,0.996288611142,1.0
20150206,0.98829254979,1.0,0.994148426969,1.0,0.989060323555,1.04463577697,0.996820280987,1.0
20150209,0.989511745202,1.0,0.992651169498,1.0,0.994956831769,1.04258634303,1.00002306721,1.0
20150210,0.98836028069,1.0,0.994541351247,1.0,0.989130551321,1.0465070661,1.0066516665,1.0
20150211,0.988587961374,1.0,0.993379592176,1.0,0.988176393738,1.04354460194,1.00334386642,1.0
20150212,0.988217150956,1.0,1.00268181442,1.0,0.987791443444,1.04011446912,1.00375793835,1.0
20150213,0.986368418273,1.0,0.991797663895,1.0,1.00874710989,1.03778181385,1.0095500092,1.0
20150216,0.986444525494,1.0,0.985913999245,1.0,1.00321047474,1.03496109174,1.01498388565,1.0
20150217,0.987380283148,1.0,0.986127651838,1.0,1.01358133675,1.03383159854,1.02223739726,1.0
20150225,0.987065877061,1.0,1.01161591824,1.0,1.01635199757,1.03718219131,1.0195383815,1.0
20150226,0.985627556693,1.0,1.00859622468,1.0,1.02664744669,1.03879660238,1.00047027534,1.0
20150227,0.984214814736,1.0,1.00800912221,1.0,1.02628781559,1.03100627536,1.0073178658,1.0
20150302,0.983466021304,1.0,0.990162418675,1.0,1.01871199559,1.0297430833,1.00436013407,1.0
20150303,0.983989713041,1.0,0.9824648595,1.0,1.00362721861,1.02679794139,1.01463086841,1.0
